date,market_ret,breadth,market_anomaly_flag,flag_rate
2018-01-02,0.018097569736249226,1.0,0,0.14285714285714285
2018-01-03,0.01191686549251146,0.8571428571428571,0,0.0
2018-01-04,0.003931675922952992,0.8571428571428571,0,0.0
2018-01-05,0.013036211292407935,1.0,0,0.0
2018-01-08,0.00504012644022037,0.7142857142857143,0,0.0
2018-01-09,0.0006489091085083601,0.42857142857142855,0,0.0
2018-01-10,0.0004305661908794762,0.42857142857142855,0,0.0
2018-01-11,0.006720499973562832,0.8571428571428571,0,0.0
2018-01-12,0.00886723699234458,0.8571428571428571,0,0.2857142857142857
2018-01-16,-0.00506597799317884,0.0,0,0.2857142857142857
2018-01-17,0.008807583775451036,0.7142857142857143,0,0.0
2018-01-18,0.0015972811060627676,0.5714285714285714,0,0.0
2018-01-19,0.0017328102262639097,0.5714285714285714,0,0.0
2018-01-22,0.012305222788692791,0.8571428571428571,0,0.0
2018-01-23,0.012956068420176128,1.0,0,0.0
2018-01-24,-0.00795380196440281,0.14285714285714285,0,0.42857142857142855
2018-01-25,-9.539210820724049e-05,0.42857142857142855,0,0.0
2018-01-26,0.012601194529773454,1.0,0,0.0
2018-01-29,-0.006317433799596214,0.2857142857142857,0,0.0
2018-01-30,-0.0035163903610175057,0.2857142857142857,0,0.14285714285714285
2018-01-31,0.0025509699385622025,0.7142857142857143,0,0.0
2018-02-01,-0.002166893452745059,0.42857142857142855,0,0.5714285714285714
2018-02-02,-0.019165226430673612,0.14285714285714285,0,0.7142857142857143
2018-02-05,-0.03859773599153658,0.0,0,1.0
2018-02-06,0.03000785366544854,1.0,0,1.0
2018-02-07,-0.016634692709699132,0.14285714285714285,0,0.42857142857142855
2018-02-08,-0.040764580483278086,0.0,0,0.8571428571428571
2018-02-09,0.016989063994946946,0.8571428571428571,0,1.0
2018-02-12,0.02248249667906713,1.0,0,0.14285714285714285
2018-02-13,0.005670163557413978,0.8571428571428571,0,0.0
2018-02-14,0.022319235241099054,1.0,0,0.0
2018-02-15,0.022486787457684208,1.0,0,0.14285714285714285
2018-02-16,-0.003931586804676693,0.2857142857142857,0,0.0
2018-02-20,0.001792429252640147,0.5714285714285714,0,0.0
