date,ticker,anomaly_flag,type,ret,ret_z,vol_z,range_pct,severity,km_flag,km_dist,db_flag,union_flag,intersection_flag,why
2018-01-02,AAPL,0,,0.017904565103547876,1.4630154321307138,-0.10766143292964726,0.7936507936507937,72.0,0,0.6439814761302165,0,0,0,
2018-01-03,AAPL,0,,-0.00017417287096532785,-0.18498881329101205,0.545090557973864,0.6984126984126984,53.1,0,0.9089410704979137,0,0,0,
2018-01-04,AAPL,0,,0.004644931034192501,0.24714869161874792,-0.5212305000737362,0.25396825396825395,27.6,0,0.27244617044267394,0,0,0,
2018-01-05,AAPL,0,,0.011385240715112932,0.8304348825099577,-0.22492892055007602,0.6031746031746031,56.9,0,0.7465354000665086,0,0,0,
2018-01-08,AAPL,0,,-0.003714179615449842,-0.5082585155364666,-0.8090170823588047,0.36507936507936506,35.1,0,0.5002200478626382,0,0,0,
2018-01-09,AAPL,0,,-0.00011469320246193515,-0.18379025043659344,-0.5271646483338999,0.3492063492063492,28.7,0,0.23246143814400166,0,0,0,
2018-01-10,AAPL,0,,-0.00022950310814462416,-0.18889457066342527,-0.03528725838644323,0.1746031746031746,29.3,0,0.6701478515575718,0,0,0,
2018-01-11,AAPL,0,,0.005680307892270919,0.3359743935004146,-1.124828456551924,0.06349206349206349,17.4,0,0.9572822942073175,0,0,0,
2018-01-12,AAPL,0,,0.0103264142653825,0.7453512604244245,0.3643485445496204,0.38095238095238093,55.0,0,1.0028143227833617,0,0,0,
2018-01-16,AAPL,0,,-0.005082227260403194,-0.63794643297632,1.0114566827407199,0.8412698412698413,73.8,0,0.8522090623497437,0,0,0,
2018-01-17,AAPL,0,,0.01651631132195952,1.284728514129095,1.624341504819055,0.9206349206349206,88.9,0,1.1272497512404418,0,0,0,
2018-01-18,AAPL,0,,0.0008932987897485312,-0.09118838174169377,1.0252665634281835,0.4444444444444444,45.6,0,1.3709267144180781,0,0,0,
2018-01-19,AAPL,0,,-0.004462771311715241,-0.5615886574861186,1.3705434849363765,0.5396825396825397,63.9,0,1.374004276717389,0,0,0,
2018-01-22,AAPL,0,,-0.008181014899352523,-0.890785214963721,0.48301443086840234,0.12698412698412698,50.4,0,1.3014744591938705,0,0,0,
2018-01-23,AAPL,0,,0.0002258630157279118,-0.1743034119824579,1.3568472568578887,0.6666666666666665,57.4,0,1.1773704418903128,0,0,0,
2018-01-24,AAPL,1,volume_shock,-0.015928603172458478,-1.6552812594419102,3.2274876820414904,0.9206349206349206,93.7,0,1.4716960722920998,0,0,0,vol_z>2.5
2018-01-25,AAPL,0,,-0.017851039218252485,-1.7718416747765333,1.7506603883004919,0.9365079365079364,92.8,0,0.43322461568940057,0,0,0,
2018-01-26,AAPL,0,,0.002337575005601611,0.07557637631893513,1.3809291003455786,0.49206349206349204,48.5,0,1.3566765414801545,0,0,0,
2018-01-29,AAPL,0,,-0.020698411403379136,-1.961956077983852,2.2423657043082046,0.7777777777777777,89.2,0,0.7824955326252904,0,0,0,
2018-01-30,AAPL,0,,-0.0058941967985293164,-0.6034249202030887,1.603485281499767,0.6349206349206349,69.0,0,1.1301626603687953,0,0,0,
2018-01-31,AAPL,0,,0.0027550112476788513,0.20887059734888,0.2917330718441265,0.5079365079365079,44.9,0,0.9969535482774221,0,0,0,
2018-02-01,AAPL,0,,0.0020903222503274588,0.1826641976105848,1.5451878173239095,0.4603174603174603,51.5,0,1.4661182229025642,0,0,0,
2018-02-02,AAPL,1,crash+volume_shock,-0.04338998020731133,-4.20276023292618,3.377847714398765,1.0,99.3,0,2.689947778782532,1,1,0,|ret_z|>2.5; vol_z>2.5; range_pct>0.95
2018-02-05,AAPL,1,,-0.02498454401835104,-2.11508261761183,2.1239048729740277,1.0,96.8,0,0.8770473603101935,0,0,0,range_pct>0.95
2018-02-06,AAPL,1,spike,0.041791579816532254,3.585782988441133,1.6822050747683552,1.0,97.1,1,2.558856103492138,0,1,0,|ret_z|>2.5; range_pct>0.95
2018-02-07,AAPL,0,,-0.02140706952532434,-1.631838955603416,0.8336110109855713,0.9365079365079364,87.7,0,0.5058783916929334,0,0,0,
2018-02-08,AAPL,1,,-0.027516452248477208,-2.0452852904103773,0.8849957478827584,0.9523809523809522,90.1,0,0.6178407084996098,0,0,0,range_pct>0.95
2018-02-09,AAPL,1,,0.012231431617522937,1.0557437739301356,1.4739823726729302,0.9682539682539683,87.5,0,1.0851577361214444,0,0,0,range_pct>0.95
2018-02-12,AAPL,1,spike,0.040278771683591064,3.1549854937904582,0.9554616804596866,0.9365079365079364,91.4,0,2.0019652205194087,0,0,0,|ret_z|>2.5
2018-02-13,AAPL,0,,0.010017726169740948,0.7706751866075366,-0.8623189209808826,0.7777777777777777,54.0,0,1.0146873730477242,0,0,0,
2018-02-14,AAPL,0,,0.018437422498585043,1.3382032046153007,-0.2815635289006853,0.8888888888888888,72.1,0,0.7963867049790802,0,0,0,
2018-02-15,AAPL,0,,0.0335784046211729,2.3347773772880003,0.36491308859564553,0.8253968253968254,81.8,0,1.2134739037535311,0,0,0,
2018-02-16,AAPL,0,,-0.003237212769150122,-0.2366787148074283,-0.4394940732655135,0.6666666666666665,42.0,0,1.1891388402571557,0,0,0,
2018-02-20,AAPL,0,,-0.0033636808208484803,-0.25713359188637863,-1.0385503707505368,0.5873015873015873,33.3,0,1.0300861207086267,0,0,0,
2018-02-21,AAPL,0,,-0.00453885685573685,-0.32078158972710485,-0.7314975265495167,0.6666666666666665,40.9,0,1.2554079613048026,0,0,0,
2018-02-22,AAPL,0,,0.008359132814508952,0.5435484961038168,-1.5038574131879137,0.4761904761904761,34.3,0,0.9911613514903539,0,0,0,
2018-02-23,AAPL,0,,0.017391298809965594,1.1371109323783324,-1.1752954777134277,0.4126984126984127,44.4,0,1.0717784418329066,0,0,0,
2018-02-26,AAPL,0,,0.01977199041947686,1.2997661700970151,-0.6697934102245877,0.6507936507936507,58.9,0,0.9996189727996976,0,0,0,
2018-02-27,AAPL,0,,-0.0032405887445158266,-0.2507709661240958,-0.5854575801198328,0.4761904761904761,34.2,0,0.6149689554286788,0,0,0,
2018-02-28,AAPL,0,,-0.0015135257064036178,-0.1325441559313624,-0.6835648596830566,0.5079365079365079,30.4,0,0.6930525863938091,0,0,0,
2018-03-01,AAPL,0,,-0.01751651352955641,-1.19953616184671,0.21141120823348142,0.9365079365079364,78.5,0,1.0074848489794306,0,0,0,
2018-03-02,AAPL,0,,0.006914464729835812,0.43150611903560776,-0.5823101025183508,0.7460317460317459,48.4,0,0.87494462867554,0,0,0,
2018-03-05,AAPL,0,,0.0034619029030198423,0.1781276610337949,-1.6466543169439556,0.6507936507936507,29.3,0,1.4196881343024872,0,0,0,
2018-03-06,AAPL,0,,-0.0008484219874695942,-0.09903049195580547,-2.0362949867982514,0.36507936507936506,16.3,0,1.1258849974822003,0,0,0,
2018-03-07,AAPL,0,,-0.009282825985765575,-0.6701399665707922,-0.950842243369353,0.19047619047619047,31.5,0,0.7441206757021307,0,0,0,
2018-03-08,AAPL,0,,0.010912384677452813,0.6885854914584204,-1.880606523730181,0.36507936507936506,32.5,0,1.140722151661181,0,0,0,
2018-03-09,AAPL,0,,0.017180802884825264,1.0927872396646572,-0.657000106163461,0.5555555555555555,53.7,0,1.1164328264143277,0,0,0,
2018-03-12,AAPL,0,,0.009667820819891704,0.5632271448838563,-0.5860704781664343,0.39682539682539686,40.0,0,0.5359430019207618,0,0,0,
2018-03-13,AAPL,0,,-0.009630175956168996,-0.7230311582481088,-0.5759798893395569,0.8253968253968254,57.9,0,1.5509726689886187,0,0,0,
2018-03-14,AAPL,0,,-0.00850149535487732,-0.6353278713093538,-0.8518204360369095,0.5873015873015873,45.0,0,1.1081808932124695,0,0,0,
2018-03-15,AAPL,0,,0.0011768667797535937,0.03185478133296794,-2.129698599637314,0.42857142857142855,16.1,0,1.2465647135838627,0,0,0,
2018-03-16,AAPL,0,,-0.0035262744827951886,-0.28839611612979316,0.7104775854526175,0.14285714285714285,39.2,0,1.2117500328448485,0,0,0,
2018-03-19,AAPL,0,,-0.01527920410188921,-1.0631806396177779,-0.04747713043995931,0.7619047619047619,67.9,0,1.2345043268261602,0,0,0,
2018-03-20,AAPL,0,,-0.0003422577282161665,-0.05284899127661604,-2.733948190627124,0.2698412698412698,11.0,1,1.6560703069835627,0,1,0,
2018-03-21,AAPL,0,,-0.02265468709727514,-1.5186694636713522,0.676585944004958,0.7777777777777777,80.5,0,0.6021309859927569,0,0,0,
2018-03-22,AAPL,0,,-0.014129733495083063,-0.9058571423518489,1.1680883008923035,0.8412698412698413,79.7,0,0.6060497876169023,0,0,0,
2018-03-23,AAPL,0,,-0.02315679856328079,-1.488829930803665,1.0718823725360864,0.8888888888888888,86.9,0,0.28239644988892965,0,0,0,
2018-03-26,AAPL,1,spike,0.04747210559577941,3.090003310429289,0.5990094718873371,0.9047619047619047,87.5,0,1.8823920451276066,0,0,0,|ret_z|>2.5
2018-03-27,AAPL,1,,-0.025641270202022226,-1.5332543595303687,0.9459526326145091,0.9523809523809522,88.6,0,0.4784015181570337,0,0,0,range_pct>0.95
2018-03-28,AAPL,0,,-0.0110489398225454,-0.6246995757925706,0.9979430692447663,0.8412698412698413,73.4,0,0.8659580433043035,0,0,0,
2018-03-29,AAPL,0,,0.007808676950847193,0.4760667947141312,0.6267387605300597,0.8253968253968254,66.4,0,0.42623041751215107,0,0,0,
2018-04-02,AAPL,0,,-0.006556211957278735,-0.38622477176614733,0.5320969124626131,0.7777777777777777,61.5,0,1.047596448200578,0,0,0,
2018-04-03,AAPL,0,,0.01025931846586925,0.6220078981338745,-0.3496564829657638,0.6666666666666665,53.4,0,0.7230315792852966,0,0,0,
2018-04-04,AAPL,0,,0.019122250713373923,1.1290142301154997,0.3066253362908407,0.9365079365079364,78.8,0,0.6339673813776275,0,0,0,
2018-04-05,AAPL,0,,0.006934177803717301,0.40303459617696646,-0.8845804192327059,0.31746031746031744,29.9,0,0.3737488616047699,0,0,0,
2018-04-06,AAPL,0,,-0.025578517373095133,-1.5314151001679615,0.30167599550333474,0.7301587301587301,75.3,0,0.9336633423491806,0,0,0,
2018-04-09,AAPL,0,,0.009917970064339476,0.5906242219952553,-0.611451587876789,0.5714285714285714,46.2,0,1.0091677324832886,0,0,0,
2018-04-10,AAPL,0,,0.018818006131742004,1.111291327628961,-0.8002374831364985,0.3492063492063492,45.5,0,0.914504431844147,0,0,0,
2018-04-11,AAPL,0,,-0.004675378132405039,-0.27642262139863544,-1.9270335978829196,0.30158730158730157,19.9,0,1.0491433891760966,0,0,0,
2018-04-12,AAPL,0,,0.009858561949407374,0.5667531266070834,-1.605647672971862,0.14285714285714285,23.3,0,1.0522564861912878,0,0,0,
2018-04-13,AAPL,0,,0.003387878061984484,0.18358737285082136,-1.0479885680570018,0.15873015873015872,16.7,0,0.6229812843883263,0,0,0,
2018-04-16,AAPL,0,,0.006238400563769675,0.349970485629502,-1.6325029798215318,0.015873015873015872,13.3,0,1.2993019991459795,0,0,0,
2018-04-17,AAPL,0,,0.013763983990472628,0.7885868496979648,-0.7296992787613608,0.33333333333333326,41.0,0,0.6391420709059087,0,0,0,
2018-04-18,AAPL,0,,-0.002244199710529249,-0.15176219385063933,-1.6957820330688453,0.09523809523809523,9.8,0,1.119025074482366,0,0,0,
2018-04-19,AAPL,0,,-0.028340094548169326,-1.6456181555682883,0.5250334225702744,0.4444444444444444,68.7,0,1.538078080728233,0,0,0,
2018-04-20,AAPL,1,volume_shock,-0.04097225539718563,-2.3008754475840956,3.1393558295426853,0.8412698412698413,92.9,0,1.4943994008608315,0,0,0,vol_z>2.5
2018-04-23,AAPL,0,,-0.002896250443320536,-0.10624254039851905,0.44855045515931896,0.4603174603174603,41.7,0,0.9891464814622035,0,0,0,
2018-04-24,AAPL,0,,-0.01391917052935665,-0.7116934520147928,0.189128612927919,0.8253968253968254,67.3,0,1.1871497872210244,0,0,0,
2018-04-25,AAPL,0,,0.004357286933686977,0.2954453909624239,-0.39959524170106214,0.5079365079365079,39.0,0,0.7356124403305186,0,0,0,
2018-04-26,AAPL,0,,0.003483058497449676,0.2315965398309748,-0.40813560697974094,0.33333333333333326,31.1,0,0.253050448289821,0,0,0,
2018-04-27,AAPL,0,,-0.011569832654764634,-0.6120166532069132,0.5662341114579063,0.6349206349206349,62.8,0,1.274075161628502,0,0,0,
2018-04-30,AAPL,0,,0.01811237904833196,1.0272063035367551,1.282699257997499,0.8253968253968254,81.5,0,0.710119477604526,0,0,0,
2018-05-01,AAPL,0,,0.023236014873404542,1.2763420848773088,2.1225610303138644,0.6349206349206349,80.5,0,1.4289891408406477,0,0,0,
2018-05-02,AAPL,1,volume_shock,0.04417522785626016,2.3714754611053066,2.6398006372103895,0.5873015873015873,84.1,1,2.198487105372945,1,1,1,vol_z>2.5
